Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 8.2873E-005	        -2.4662E-005	  2.6394E-004	         9.6279E-003	 -1.4949E-002	        -6.1104E-001	 -1.3087E+000	        -1.5568E+000	  5.4065E-007	 4.2337E-007	 5.6855E-007	
 8.3047E-005	        -1.5561E-005	  2.0767E-004	         8.4230E-003	 -1.4753E-002	        -6.1807E-001	 -4.9045E-001	        -1.2925E+000	  8.3602E-007	 4.2134E-007	 7.8894E-007	
 8.3281E-005	        -7.4510E-006	  1.9455E-004	         7.2203E-003	 -1.5855E-002	        -6.1887E-001	  3.0353E-001	        -6.8754E-001	  4.7773E-007	 1.9487E-007	 4.6487E-007	
 8.3146E-005	        -7.9973E-007	  1.1477E-004	         6.0091E-003	 -1.4276E-002	        -6.2549E-001	  1.1341E+000	         1.2428E-001	  2.5185E-007	 1.8837E-007	 2.5359E-007	
 8.3195E-005	         4.6136E-006	  1.4972E-004	         4.7848E-003	 -5.7484E-003	        -6.2001E-001	  1.4544E+000	         1.1145E+000	  8.2315E-007	 2.8277E-007	 8.3508E-007	
 8.2908E-005	         9.2122E-006	  1.3619E-004	         3.5742E-003	 -5.8726E-003	        -6.0966E-001	  2.1898E+000	         2.0765E+000	  4.7654E-007	 1.5965E-007	 4.7344E-007	
 8.3177E-005	         1.2166E-005	  1.0952E-004	         2.3400E-003	  4.8127E-003	        -6.0770E-001	  3.3196E+000	         3.5434E+000	  3.9983E-007	 3.0301E-007	 4.1084E-007	
 8.3231E-005	         1.4195E-005	  1.5271E-004	         1.2087E-003	  1.3505E-002	        -5.9049E-001	  4.0086E+000	         5.1676E+000	  4.1318E-007	 3.8576E-007	 4.3182E-007	
 8.3494E-005	         1.4775E-005	  1.6180E-004	         7.6528E-006	  3.0258E-002	        -5.8278E-001	  4.9334E+000	         7.1566E+000	  2.7036E-007	 2.9170E-007	 2.2303E-007	
 8.3619E-005	         1.4497E-005	  2.3763E-004	        -1.0717E-003	  4.0279E-002	        -5.5261E-001	  5.8825E+000	         9.1876E+000	  3.8490E-007	 1.9791E-007	 3.4984E-007	
 8.3550E-005	         1.3099E-005	  3.4751E-004	        -2.1069E-003	  6.0972E-002	        -5.1469E-001	  6.6354E+000	         1.1639E+001	  2.8468E-007	 4.7992E-007	 3.4592E-007	
 8.4358E-005	         1.0395E-005	  4.6834E-004	        -3.0994E-003	  8.2784E-002	        -4.8051E-001	  7.3940E+000	         1.3938E+001	  6.2821E-007	 4.0125E-007	 6.0898E-007	
 8.4609E-005	         7.0978E-006	  6.8819E-004	        -4.0328E-003	  1.0841E-001	        -4.3727E-001	  8.7515E+000	         1.6855E+001	  6.5647E-007	 4.5971E-007	 6.3195E-007	
 8.5098E-005	         2.8237E-006	  9.1029E-004	        -4.8300E-003	  1.3445E-001	        -3.8524E-001	  1.0125E+001	         1.9638E+001	  3.6599E-007	 4.3660E-007	 3.6377E-007	
 8.6163E-005	        -2.3179E-006	  1.2359E-003	        -5.5113E-003	  1.6574E-001	        -3.1781E-001	  1.0954E+001	         2.2268E+001	  2.8396E-007	 3.8146E-007	 2.7603E-007	
 8.7307E-005	        -7.6797E-006	  1.5978E-003	        -6.0284E-003	  1.9859E-001	        -2.4454E-001	  1.2428E+001	         2.5493E+001	  2.8582E-007	 5.3149E-007	 2.9155E-007	
 8.9303E-005	        -1.4207E-005	  2.0161E-003	        -6.4575E-003	  2.3811E-001	        -1.6848E-001	  1.3409E+001	         2.8517E+001	  4.4470E-007	 4.0305E-007	 4.2830E-007	
 9.1211E-005	        -2.0535E-005	  2.5471E-003	        -6.6954E-003	  2.7919E-001	        -7.5626E-002	  1.4717E+001	         3.1651E+001	  5.1579E-007	 4.1356E-007	 4.5175E-007	
 9.4111E-005	        -2.6830E-005	  3.1219E-003	        -6.6923E-003	  3.2375E-001	         2.5587E-002	  1.5865E+001	         3.4486E+001	  3.8445E-007	 4.1423E-007	 3.0008E-007	
 9.7521E-005	        -3.3356E-005	  3.8507E-003	        -6.5332E-003	  3.7369E-001	         1.2965E-001	  1.7009E+001	         3.6943E+001	  3.5893E-007	 4.3289E-007	 2.1606E-007	
 1.0135E-004	        -3.9574E-005	  4.5951E-003	        -6.1740E-003	  4.2529E-001	         2.4914E-001	  1.8090E+001	         3.9447E+001	  2.9342E-007	 2.8622E-007	 2.4759E-007	
 1.0622E-004	        -4.5156E-005	  5.4838E-003	        -5.4181E-003	  4.7581E-001	         3.7300E-001	  1.8880E+001	         4.1317E+001	  5.4299E-007	 3.4146E-007	 5.1809E-007	
 1.1194E-004	        -5.0039E-005	  6.4977E-003	        -4.5846E-003	  5.2888E-001	         4.9923E-001	  1.8744E+001	         4.2438E+001	  4.9924E-007	 3.3415E-007	 5.6146E-007	
 1.1862E-004	        -5.5021E-005	  7.5794E-003	        -3.6884E-003	  5.8248E-001	         6.1694E-001	  1.7888E+001	         4.2707E+001	  2.9811E-007	 4.8976E-007	 2.1185E-007	
 1.2662E-004	        -5.6817E-005	  8.7915E-003	        -2.1048E-003	  6.3313E-001	         7.5080E-001	  1.7109E+001	         4.1479E+001	  6.4524E-007	 4.0428E-007	 6.3626E-007	
 1.3580E-004	        -5.8506E-005	  1.0087E-002	        -5.6780E-004	  6.7486E-001	         8.7160E-001	  1.4875E+001	         3.9532E+001	  4.4844E-007	 8.5654E-008	 3.8549E-007	
 1.4679E-004	        -5.8331E-005	  1.1457E-002	         1.2617E-003	  7.1470E-001	         9.8437E-001	  1.2084E+001	         3.6293E+001	  3.5386E-007	 3.6402E-007	 3.7440E-007	
 1.5862E-004	        -5.6066E-005	  1.2914E-002	         3.2945E-003	  7.3984E-001	         1.0860E+000	  8.1681E+000	         3.1687E+001	  5.3701E-007	 4.8462E-007	 4.7426E-007	
 1.7212E-004	        -4.9743E-005	  1.4388E-002	         5.7954E-003	  7.6379E-001	         1.1742E+000	  4.0829E+000	         2.5386E+001	  4.2669E-007	 1.6249E-007	 4.5205E-007	
