Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 7.0205E-005	        -1.2865E-005	 -5.3717E-004	         5.9969E-004	  7.6439E-002	        -1.2346E-001	  2.5411E-001	        -2.9508E-001	  2.0893E-007	 1.7218E-007	 1.9438E-007	
 6.9516E-005	        -1.2129E-005	 -3.7084E-004	         3.5524E-004	  7.6105E-002	        -1.2289E-001	  3.5295E-001	        -1.5249E-001	  2.4686E-007	 3.1219E-007	 2.7074E-007	
 6.9370E-005	        -1.2117E-005	 -2.1008E-004	         1.0763E-004	  7.5586E-002	        -1.2086E-001	  3.4269E-001	         1.1825E-001	  2.2584E-007	 4.6644E-007	 2.1949E-007	
 6.9317E-005	        -1.1990E-005	 -7.7865E-005	        -1.2545E-004	  7.7972E-002	        -1.2394E-001	  3.1266E-001	         5.6947E-001	  2.6239E-007	 2.2172E-007	 2.6527E-007	
 6.9253E-005	        -1.1979E-005	  8.3095E-005	        -3.6746E-004	  7.8343E-002	        -1.2018E-001	  3.3058E-001	         6.9624E-001	  2.9959E-007	 2.2501E-007	 3.0591E-007	
 6.9191E-005	        -1.2507E-005	  2.5398E-004	        -6.1251E-004	  7.8604E-002	        -1.1728E-001	  3.1206E-001	         7.9114E-001	  1.4866E-007	 2.6748E-007	 1.5682E-007	
 6.9890E-005	        -1.3162E-005	  4.1666E-004	        -8.4345E-004	  8.0134E-002	        -1.1504E-001	  2.6287E-001	         9.7418E-001	  3.4171E-007	 3.3689E-007	 3.2078E-007	
 6.9878E-005	        -1.4446E-005	  5.6985E-004	        -1.0510E-003	  7.9016E-002	        -1.0840E-001	  4.9300E-001	         1.3684E+000	  1.5854E-007	 4.0582E-007	 1.9245E-007	
 7.0836E-005	        -1.5336E-005	  7.4906E-004	        -1.2703E-003	  8.1010E-002	        -1.0595E-001	  3.2981E-001	         1.4464E+000	  2.9176E-007	 2.6395E-007	 2.9778E-007	
 7.1069E-005	        -1.7012E-005	  9.0827E-004	        -1.4648E-003	  8.0547E-002	        -1.0073E-001	  2.5858E-001	         1.7966E+000	  2.1456E-007	 2.4829E-007	 2.1992E-007	
 7.2425E-005	        -1.8050E-005	  1.0859E-003	        -1.6717E-003	  8.2358E-002	        -9.5051E-002	  2.3581E-001	         1.9070E+000	  2.6376E-007	 3.0264E-007	 2.4734E-007	
 7.3631E-005	        -1.9634E-005	  1.2559E-003	        -1.8693E-003	  8.2777E-002	        -8.9874E-002	  2.0576E-001	         2.0666E+000	  2.5757E-007	 2.5741E-007	 2.4038E-007	
 7.5055E-005	        -2.1716E-005	  1.4198E-003	        -2.0290E-003	  8.3366E-002	        -8.2566E-002	  4.3831E-002	         2.1716E+000	  3.3781E-007	 3.9660E-007	 3.7010E-007	
 7.6326E-005	        -2.3951E-005	  1.5852E-003	        -2.1882E-003	  8.1143E-002	        -7.4077E-002	 -8.9234E-002	         2.2068E+000	  1.3185E-007	 4.2929E-007	 2.4038E-007	
 7.8150E-005	        -2.6134E-005	  1.7435E-003	        -2.3179E-003	  8.1684E-002	        -6.9644E-002	 -1.3868E-001	         2.2426E+000	  1.7175E-007	 2.9777E-007	 2.0520E-007	
 8.0023E-005	        -2.8354E-005	  1.9302E-003	        -2.4575E-003	  8.0729E-002	        -6.2733E-002	 -2.5305E-001	         2.3256E+000	  3.4976E-007	 1.4654E-007	 3.2013E-007	
 8.2095E-005	        -3.0855E-005	  2.0988E-003	        -2.5672E-003	  8.0534E-002	        -5.6056E-002	 -4.5168E-001	         2.2577E+000	  4.9342E-007	 3.8855E-007	 4.2457E-007	
 8.3826E-005	        -3.3722E-005	  2.2423E-003	        -2.6537E-003	  7.7049E-002	        -4.8583E-002	 -4.5399E-001	         2.0977E+000	  3.8285E-007	 4.3099E-007	 4.5318E-007	
 8.6534E-005	        -3.6302E-005	  2.3964E-003	        -2.7533E-003	  7.6729E-002	        -4.3170E-002	 -6.1359E-001	         2.1329E+000	  3.5994E-007	 2.8859E-007	 4.0885E-007	
 8.8755E-005	        -3.8811E-005	  2.5695E-003	        -2.8439E-003	  7.2480E-002	        -3.6189E-002	 -8.3618E-001	         1.9549E+000	  2.8184E-007	 2.4061E-007	 2.9377E-007	
 9.1592E-005	        -4.1886E-005	  2.7000E-003	        -2.8932E-003	  7.1570E-002	        -3.0902E-002	 -9.9991E-001	         1.7296E+000	  4.6360E-007	 3.4876E-007	 4.9240E-007	
 9.4321E-005	        -4.4737E-005	  2.8448E-003	        -2.9586E-003	  6.5937E-002	        -2.6175E-002	 -1.2475E+000	         1.7070E+000	  1.4795E-007	 2.0142E-007	 1.0965E-007	
 9.6948E-005	        -4.7744E-005	  2.9793E-003	        -2.9963E-003	  6.2984E-002	        -2.1013E-002	 -1.3816E+000	         1.2675E+000	  3.3181E-007	 2.6075E-007	 2.3889E-007	
 9.9719E-005	        -5.0742E-005	  3.1230E-003	        -3.0324E-003	  5.7037E-002	        -1.8200E-002	 -1.5782E+000	         1.0978E+000	  2.1865E-007	 2.6878E-007	 2.6271E-007	
 1.0329E-004	        -5.3417E-005	  3.2562E-003	        -3.0626E-003	  5.1285E-002	        -1.3856E-002	 -1.7231E+000	         8.6377E-001	  3.3769E-007	 3.6498E-007	 4.5247E-007	
 1.0665E-004	        -5.6372E-005	  3.3454E-003	        -3.0960E-003	  4.5638E-002	        -1.0826E-002	 -1.9296E+000	         4.2203E-001	  3.5098E-007	 3.6742E-007	 4.5204E-007	
